track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,bpm,danceability_perc,energy_perc,,,bpm,Average of energy_%,,,,,,,Column1,Column2,Column3,Column4,Column5,Column6,Column7,,,,,released_year,Average of streams
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14,553,147,141381703,43,263,125,80,83,,,65,25.00,,,,,,,Stats,Streams,BPM,Apple Charts,Apple Playlists,Spotify Playlists,Spotify Charts,,,,,1930,90598517.00
LALA,Myke Towers,1,2023,3,23,1474,48,133716286,48,126,92,71,74,,,67,53.00,,,,,,,Mean,514577099.00,122.57,51.94,67.86,5204.77,12.02,,,,,1942,395591396
vampire,Olivia Rodrigo,1,2023,6,30,1397,113,140003974,94,207,138,51,53,,,71,44.67,,,,,,,Mode,156338624,120,0,0,1150,3,,,,,1946,389771964
Cruel Summer,Taylor Swift,1,2019,8,23,7858,100,800840817,116,207,170,55,72,,,72,41.33,,,,,,,Median,290833204,121,38.5,34,2225,0,,,,,1950,473248298
WHERE SHE GOES,Bad Bunny,1,2023,5,18,3133,50,303236322,84,133,144,65,80,,,73,41.00,,,,,,,Min,2762,65,0,0,31,0,,,,,1952,395591396
Sprinter,"Dave, Central Cee",2,2023,6,1,2186,91,183706234,67,213,141,92,58,,,74,67.00,,,,,,,Max,3703895074,206,275,672,52898,147,,,,,1957,459981011
Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16,3090,50,725980112,34,222,148,67,76,,,75,62.00,,,,,,,STD.Deviation,566992779,28.05,50.64,86.48,7900.46,19.58,,,,,1958,436854312.3
Columbia,Quevedo,1,2023,7,7,714,43,58149378,25,89,100,67,71,,,76,43.50,,,,,,,Range,3703892312,141,275,672,52867,147,,,,,1959,286708922
fukumean,Gunna,1,2023,5,15,1096,83,95217315,60,210,130,85,62,,,77,72.50,,,,,,,,,,,,,,,,,,1963,437087793.7
La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17,2953,44,553634067,49,110,170,81,48,,,78,48.33,,,,,,,,,,,,,,,,,,1968,1145727611
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,2876,40,505671438,41,205,83,57,72,,,79,49.75,,,,,,,,,,,,,,,,,,1970,520034544
Super Shy,NewJeans,1,2023,7,7,422,55,58255150,37,202,150,78,82,,,80,56.42,,,,,,,,,,,,,,,,,,1971,460492795
Flowers,Miley Cyrus,1,2023,1,12,12211,115,1316855716,300,215,118,71,68,,,81,61.00,,,,,,,,,,,,,,,,,,1973,838586769
Daylight,David Kushner,1,2023,4,14,3528,98,387570742,80,156,130,51,43,,,82,60.29,,,,,,,,,,,,,,,,,,1975,2103052676
As It Was,Harry Styles,1,2022,3,31,23575,130,2513188493,403,198,174,52,73,,,83,57.40,,,,,,,,,,,,,,,,,,1979,403939487
Kill Bill,SZA,1,2022,12,8,8109,77,1163093654,183,162,89,64,73,,,84,68.63,,,,,,,,,,,,,,,,,,1982,175137725
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,2942,77,496795686,91,212,120,78,59,,,85,59.57,,,,,,,,,,,,,,,,,,1983,1593270737
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13,873,104,30546883,80,227,78,44,9,,,86,41.00,,,,,,,,,,,,,,,,,,1984,867906341.5
Classy 101,"Feid, Young Miko",2,2023,3,31,2610,40,335222234,43,100,100,86,66,,,87,62.50,,,,,,,,,,,,,,,,,,1985,1115404971
Like Crazy,Jimin,1,2023,3,24,596,68,363369738,8,104,120,63,73,,,88,64.50,,,,,,,,,,,,,,,,,,1986,566837918
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22,332,26,86444842,11,163,140,65,74,,,89,56.20,,,,,,,,,,,,,,,,,,1987,1553497987
I Can See You (Taylor's Version) (From The ,Taylor Swift,1,2023,7,7,516,38,52135248,73,119,123,69,76,,,90,65.05,,,,,,,,,,,,,,,,,,1991,1029419895
I Wanna Be Yours,Arctic Monkeys,1,2013,1,1,12859,110,1297026226,24,98,135,48,42,,,91,63.75,,,,,,,,,,,,,,,,,,1992,1271293243
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31,1313,40,200647221,17,152,133,85,67,,,92,65.60,,,,,,,,,,,,,,,,,,1994,1449779435
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2,1945,87,115364561,74,182,99,85,68,,,93,67.43,,,,,,,,,,,,,,,,,,1995,968501958
SABOR FRESA,Fuerza Regida,1,2023,6,22,250,26,78300654,16,149,130,79,86,,,94,63.27,,,,,,,,,,,,,,,,,,1996,106933107
Calm Down (with Selena Gomez)," Rema, Selena G",2,2022,3,25,7112,77,899183384,202,119,107,80,80,,,95,69.69,,,,,,,,,,,,,,,,,,1997,103762518
MOJABI GHOST,"Tainy, Bad Bunny",2,2023,6,29,859,40,61245289,35,109,122,81,71,,,96,62.00,,,,,,,,,,,,,,,,,,1998,1284942608
Last Night,Morgan Wallen,1,2023,1,31,2420,19,429829812,52,107,204,52,68,,,97,73.63,,,,,,,,,,,,,,,,,,1999,1080615564
Dance The Night (From Barbie The Album),Dua Lipa,1,2023,5,25,2988,101,127408954,0,0,110,67,85,,,98,63.19,,,,,,,,,,,,,,,,,,2000,983493509.8
Rush,Troye Sivan,1,2023,7,13,864,78,22581161,71,135,126,74,84,,,99,65.00,,,,,,,,,,,,,,,,,,2002,1446620471
TULUM,"Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,52294266,20,185,168,56,87,,,100,59.00,,,,,,,,,,,,,,,,,,2003,1584021371
Creepin',"The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,843957510,113,149,98,71,61,,,101,70.70,,,,,,,,,,,,,,,,,,2004,878929559.8
Anti-Hero,Taylor Swift,1,2022,10,21,9082,56,999748277,242,142,97,64,63,,,102,76.80,,,,,,,,,,,,,,,,,,2005,180577478
TQG,"Karol G, Shakira",2,2023,2,23,4284,49,618990393,115,123,180,72,63,,,103,64.50,,,,,,,,,,,,,,,,,,2007,1217120710
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,123122413,22,33,120,81,68,,,104,66.50,,,,,,,,,,,,,,,,,,2008,1240407950
Frágil,"Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,188933502,19,108,150,61,73,,,105,73.11,,,,,,,,,,,,,,,,,,2010,1081405683
Blank Space,Taylor Swift,1,2014,1,1,11434,53,1355959075,154,123,96,75,68,,,106,65.17,,,,,,,,,,,,,,,,,,2011,936321290.7
Style,Taylor Swift,1,2014,1,1,7830,42,786181836,94,111,95,60,79,,,107,62.00,,,,,,,,,,,,,,,,,,2012,1341534279
TQM,Fuerza Regida,1,2023,5,19,584,28,176553476,16,159,125,79,85,,,108,56.23,,,,,,,,,,,,,,,,,,2013,1220192295
El Azul,"Junior H, Peso Pluma",2,2023,2,10,692,25,354495408,10,107,144,56,65,,,109,64.50,,,,,,,,,,,,,,,,,,2014,1264047139
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,2018,10,9,24094,78,2808096550,372,117,90,76,50,,,110,62.00,,,,,,,,,,,,,,,,,,2015,993721360.8
I'm Good (Blue),"Bebe Rexha, David Guetta",2,2022,8,26,12482,80,1109433169,291,184,128,56,97,,,111,59.00,,,,,,,,,,,,,,,,,,2016,1124607804
See You Again,"Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,1047101291,77,58,79,56,56,,,112,65.40,,,,,,,,,,,,,,,,,,2017,1367723437
Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,65156199,82,145,144,77,58,,,113,55.00,,,,,,,,,,,,,,,,,,2018,1503052239
Angels Like You,Miley Cyrus,1,2020,11,27,3372,19,570515054,65,48,122,67,64,,,114,62.90,,,,,,,,,,,,,,,,,,2019,1051970349
I Ain't Worried,OneRepublic,1,2022,5,13,8431,76,1085685420,241,127,140,71,81,,,115,67.58,,,,,,,,,,,,,,,,,,2020,937938698.8
Die For You,The Weeknd,1,2016,11,24,2483,59,1647990401,68,21,134,59,52,,,116,71.44,,,,,,,,,,,,,,,,,,2021,620236160
Starboy,"The Weeknd, Daft Punk",2,2016,9,21,29536,79,2565529693,281,137,186,68,59,,,117,64.44,,,,,,,,,,,,,,,,,,2022,289558154.1
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,3408,47,518745108,87,86,67,53,53,,,118,64.29,,,,,,,,,,,,,,,,,,2023,147477052
El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,107753850,44,64,106,72,64,,,119,52.60,,,,,,,,,,,,,,,,,,(blank),
Baby Don't Hurt Me,"David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,177740666,145,111,128,60,91,,,120,64.23,,,,,,,,,,,,,,,,,,Grand Total,514137424.9
AMARGURA,Karol G,1,2023,2,24,1133,39,153372011,14,71,107,92,70,,,121,71.60,,,,,,,,,,,,,,,,,,,
(It Goes Like) Nanana - Edit,Peggy Gou,1,2023,6,15,2259,59,57876440,0,0,130,67,88,,,122,71.05,,,,,,,,,,,,,,,,,,,
Another Love,Tom Odell,1,2012,10,15,18371,83,1813673666,250,122,123,45,54,,,123,71.75,,,,,,,,,,,,,,,,,,,
Blinding Lights,The Weeknd,1,2019,11,29,43899,69,3703895074,672,199,171,50,80,,,124,65.14,,,,,,,,,,,,,,,,,,,
Moonlight,Kali Uchis,1,2023,2,24,2649,42,256483385,67,79,137,64,72,,,125,76.06,,,,,,,,,,,,,,,,,,,
La Bachata,Manuel Turizo,1,2022,5,26,6804,45,1214083358,139,111,125,84,68,,,126,67.90,,,,,,,,,,,,,,,,,,,
S91,Karol G,1,2023,7,14,525,41,16011326,34,115,128,86,72,,,127,82.25,,,,,,,,,,,,,,,,,,,
cardigan,Taylor Swift,1,2020,7,24,7923,29,812019557,106,112,130,61,58,,,128,75.08,,,,,,,,,,,,,,,,,,,
TáOK,"dennis, MC Kevin o Chris",2,2023,5,4,731,15,111947664,27,17,130,86,96,,,129,56.43,,,,,,,,,,,,,,,,,,,
Boy's a liar Pt. 2,"PinkPantheress, Ice Spice",2,2023,2,3,5184,41,156338624,154,84,133,70,81,,,130,68.84,,,,,,,,,,,,,,,,,,,
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,720434240,38,0,101,88,59,,,131,57.67,,,,,,,,,,,,,,,,,,,
BESO,"Rauw Alejandro,  ROSALÍA",2,2023,3,24,4053,50,357925728,82,121,95,77,64,,,132,67.57,,,,,,,,,,,,,,,,,,,
Hey Mor,"Ozuna, Feid",2,2022,10,6,4637,38,674072710,63,79,98,90,59,,,133,72.78,,,,,,,,,,,,,,,,,,,
Yellow,Chris Molitor,1,1999,1,1,31358,43,1755214421,196,2,173,43,66,,,134,56.62,,,,,,,,,,,,,,,,,,,
Karma,Taylor Swift,1,2022,10,21,3818,23,404562836,37,55,90,64,62,,,135,62.09,,,,,,,,,,,,,,,,,,,
People,Libianca,1,2022,12,2,3506,56,373199958,105,64,198,59,42,,,136,62.71,,,,,,,,,,,,,,,,,,,
Overdrive,Post Malone,1,2023,7,14,410,36,14780425,36,32,140,56,73,,,137,73.00,,,,,,,,,,,,,,,,,,,
Enchanted (Taylor's Version),Taylor Swift,1,2023,7,7,148,24,39578178,32,93,82,51,53,,,138,63.89,,,,,,,,,,,,,,,,,,,
BABY HELLO,"Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,54266102,42,80,130,77,89,,,139,42.67,,,,,,,,,,,,,,,,,,,
Heat Waves,Glass Animals,1,2020,6,28,22543,63,2557975762,386,144,81,76,53,,,140,63.00,,,,,,,,,,,,,,,,,,,
golden hour,JVKE,1,2022,7,15,4511,36,751134527,70,58,94,51,59,,,141,59.80,,,,,,,,,,,,,,,,,,,
Sweater Weather,The Neighbourhood,1,2012,5,14,16413,61,2282771485,166,87,124,61,81,,,142,61.00,,,,,,,,,,,,,,,,,,,
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,1356565093,94,65,128,62,78,,,143,60.14,,,,,,,,,,,,,,,,,,,
Viva La Vida,Coldplay,1,2008,1,1,33898,62,1592909789,233,0,138,49,62,,,144,63.33,,,,,,,,,,,,,,,,,,,
Here With Me,d4vd,1,2022,7,17,3246,23,635412045,94,85,132,58,48,,,145,60.00,,,,,,,,,,,,,,,,,,,
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",2,2022,9,22,8576,42,1230675890,216,108,131,71,47,,,146,56.44,,,,,,,,,,,,,,,,,,,
Yandel 150,"Yandel, Feid",2,2022,12,20,3618,38,585695368,47,74,168,78,73,,,147,72.20,,,,,,,,,,,,,,,,,,,
 CORAZÓN VACÍO,Maria Becerra,1,2023,6,22,370,20,43857627,12,16,98,68,79,,,148,69.00,,,,,,,,,,,,,,,,,,,
Riptide,Vance Joy,1,1975,1,1,31123,55,2009094673,300,65,102,48,73,,,149,63.00,,,,,,,,,,,,,,,,,,,
Until I Found You (with Em Beihold) - Em Beihold Version,"Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,600976848,60,96,101,34,57,,,150,60.76,,,,,,,,,,,,,,,,,,,
 Novidade na Área,"Mc Livinho, DJ Matt D",2,2023,6,23,267,9,39709092,9,6,130,63,34,,,151,57.00,,,,,,,,,,,,,,,,,,,
Back To December (Taylor's Version),Taylor Swift,1,2023,7,7,139,17,39228929,16,72,142,50,64,,,152,68.33,,,,,,,,,,,,,,,,,,,
STAY (with Justin Bieber),"Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,2665343922,492,99,170,59,76,,,153,65.00,,,,,,,,,,,,,,,,,,,
El Merengue,"Marshmello, Manuel Turizo",2,2023,3,3,2114,44,223633238,80,75,124,78,68,,,154,76.00,,,,,,,,,,,,,,,,,,,
Someone You Loved,Lewis Capaldi,1,2018,11,8,17836,53,2887241814,440,125,110,50,41,,,155,58.00,,,,,,,,,,,,,,,,,,,
Me Porto Bonito,"Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,1440757818,104,120,92,91,71,,,156,74.50,,,,,,,,,,,,,,,,,,,
Makeba,Jain,1,2015,6,22,6060,53,165484133,150,148,116,82,66,,,157,64.50,,,,,,,,,,,,,,,,,,,
MONTAGEM - FR PUNK,"Ayparia, unxbected",2,2012,6,20,641,50,58054811,1,52,129,63,82,,,158,70.38,,,,,,,,,,,,,,,,,,,
Fast Car,Luke Combs,1,2023,3,24,1446,12,157058870,57,97,98,71,60,,,160,67.90,,,,,,,,,,,,,,,,,,,
What It Is (Solo Version),Doechii,1,2023,3,17,804,25,95131998,29,76,172,74,76,,,161,56.00,,,,,,,,,,,,,,,,,,,
Coco Chanel,"Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,250305248,28,89,150,68,76,,,162,61.67,,,,,,,,,,,,,,,,,,,
Don't Bl,Taylor Swift,1,2017,11,8,4875,23,685032533,19,45,136,62,53,,,163,67.00,,,,,,,,,,,,,,,,,,,
Still With You,Jung Kook,1,2020,6,5,31,39,38411956,2,107,88,53,47,,,164,58.25,,,,,,,,,,,,,,,,,,,
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150,69,145,143,83,44,,,165,48.00,,,,,,,,,,,,,,,,,,,
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540,49,105,100,49,35,,,166,60.71,,,,,,,,,,,,,,,,,,,
Snooze,SZA,1,2022,12,9,2839,25,399686758,58,156,143,56,55,,,168,69.00,,,,,,,,,,,,,,,,,,,
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508,89,143,112,56,66,,,169,48.00,,,,,,,,,,,,,,,,,,,
Take Two,BTS,1,2023,6,9,674,47,118482347,20,106,93,62,59,,,170,60.06,,,,,,,,,,,,,,,,,,,
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184,160,110,206,43,55,,,171,79.33,,,,,,,,,,,,,,,,,,,
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165,17,119,88,68,71,,,172,73.14,,,,,,,,,,,,,,,,,,,
Chemical,Post Malone,1,2023,4,14,2528,39,172825906,56,91,170,50,90,,,173,49.33,,,,,,,,,,,,,,,,,,,
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043,49,98,84,62,67,,,174,66.88,,,,,,,,,,,,,,,,,,,
